
LED_LEVEL



,設備,值
2024-10-24 19:08:38,SA-59/LED_LEVEL,3
2024-10-24 19:08:46,SA-59/LED_LEVEL,2
2024-10-24 19:08:47,SA-59/LED_LEVEL,0
2024-10-24 19:08:49,SA-59/LED_LEVEL,1
2024-10-24 19:08:50,SA-59/LED_LEVEL,3
2024-10-24 19:08:51,SA-59/LED_LEVEL,6
2024-10-24 19:35:45,SA-59/LED_LEVEL,6
2024-10-24 19:35:49,SA-59/LED_LEVEL,4
2024-10-24 19:35:50,SA-59/LED_LEVEL,3
2024-10-24 19:51:38,SA-59/LED_LEVEL,3
2024-10-24 19:52:00,SA-59/LED_LEVEL,0
2024-10-24 19:52:01,SA-59/LED_LEVEL,3
2024-10-24 19:52:02,SA-59/LED_LEVEL,6
2024-10-24 19:52:03,SA-59/LED_LEVEL,7
2024-10-24 19:56:35,SA-59/LED_LEVEL,5
2024-10-24 19:56:40,SA-59/LED_LEVEL,1
2024-10-24 19:56:45,SA-59/LED_LEVEL,7
2024-10-24 19:56:46,SA-59/LED_LEVEL,9
2024-10-24 19:58:02,SA-59/LED_LEVEL,7
2024-10-24 19:58:04,SA-59/LED_LEVEL,6
